p_name,p_id,o_role,games,batting_avg,hr,on_base,slg,ops
Willy Adames,1,SS,6,0.294,2,0.4,0.706,1.106
Mike Brosseau,2,3B,1,0,0,0.333,0,0.33
Ji-Man Choi,3,1B,6,0.188,1,0.435,0.375,0.81
Travis D'Arnaud,4,C,6,0.105,0,0.217,0.105,0.322
Matt Duffy,5,3B,3,0.6,0,0.6,0.6,1.2
Yandy Diaz,6,3B,4,0.231,2,0.231,0.692,0.923
Avisail Garcia,7,RF,5,0.3,1,0.3,0.45,0.75
Kevin Kiermaier,8,CF,6,0.136,1,0.136,0.318,0.454
Brandon Lowe,9,2B,5,0.211,1,0.25,0.421,0.671
Austin Meadows,10,RF,6,0.13,0,0.231,0.217,0.448
Tommy Pham,11,LF,6,0.36,2,0.385,0.6,0.985
Eric Sogard,12,3B,2,0.5,1,0.5,1.25,1.75
Joey Wendle,13,2B,5,0.2,0,0.2,0.3,0.5
Seth Brown,1,1B,1,0,0,0,0,0
Mark Canha,2,LF,1,0,0,0.25,0,0.25
Matt Chapman,3,3B,1,0.333,0,0.5,0.333,0.833
Khris Davis,4,RF,1,0,0,0,0,0
Robbie Grossman,5,LF,1,0.5,0,0.5,0.5,1
Ramon Laureano,6,CF,1,0.333,0,0.25,0.333,0.583
Sean Murphy,7,C,1,0,0,0,0,0
Matt Olson,8,1B,1,0.333,0,0.5,0.333,0.833
Josh Phegley,9,C,1,0,0,0,0,0
Jurickson Profar,10,2B,1,0.5,0,0.5,0.5,1
Marcus Semien,11,SS,1,0.2,0,0.2,0.2,0.4
Luis Arraez,1,2B,3,0.455,0,0.455,0.818,1.273
Jake Cave,2,RF,2,0.25,0,0.25,0.25,0.5
CJ Cron,3,1B,2,0.2,0,0.333,0.2,0.533
Nelson Cruz,4,DH,3,0.2,1,0.429,0.5,0.929
Mitch Garver,5,C,3,0.167,0,0.231,0.167,0.398
Marwin Gonzalez,6,LF,3,0.273,0,0.273,0.364,0.637
Max Kepler,7,CF,3,0,0,0.231,0,0.231
Jorge Polanco,8,SS,3,0.273,1,0.429,0.545,0.974
Eddie Rosario,9,RF,3,0.308,1,0.308,0.615,0.923
Miguel Sano,10,3B,3,0.083,1,0.083,0.333,0.416
Jonathan Schoop,11,2B,2,0,0,0,0,0
Edwin Encarnacion,1,1B,8,0.161,0,0.278,0.258,0.536
Brett Gardner,2,CF,9,0.176,1,0.263,0.265,0.528
Didi Gregorius,3,SS,9,0.273,1,0.314,0.394,0.708
Aaron Hicks,4,CF,5,0.154,1,0.353,0.385,0.738
Aaron Judge,5,RF,9,0.265,1,0.39,0.353,0.743
DJ LeMahieu,6,1B,9,0.325,3,0.386,0.625,1.011
Cameron Maybin,7,LF,5,0.333,1,0.429,0.833,1.262
Giancarlo Stanton,8,LF,5,0.231,1,0.389,0.462,0.851
Gary Sanchez,9,C,9,0.129,1,0.25,0.226,0.476
Gleyber Torres,10,2B,9,0.324,3,0.375,0.703,1.078
Gio Urshela,11,3B,9,0.242,2,0.286,0.455,0.741
Jose Altuve,1,2B,18,0.329,5,0.366,0.605,0.971
Yordan Alvarez,2,LF,18,0.241,1,0.323,0.345,0.668
Michael Brantley,3,LF,18,0.286,1,0.367,0.329,0.696
Alex Bregman,4,3B,18,0.234,4,0.364,0.469,0.833
Robinson Chirinos,5,C,14,0.146,3,0.222,0.39,0.612
Carlos Correa,6,SS,18,0.191,3,0.257,0.382,0.639
Aledmys Diaz,7,2B,8,0,0,0.1,0,0.1
Yuli Gurriel,8,1B,18,0.25,2,0.286,0.375,0.661
Martin Maldonado,9,C,7,0.3,1,0.333,0.5,0.833
Jake Marisnick,10,CF,14,0.364,0,0.417,0.364,0.781
Josh Reddick,11,RF,14,0.167,1,0.211,0.25,0.461
George Springer,12,CF,18,0.205,4,0.318,0.425,0.743
Kyle Tucker,13,LF,9,0.167,0,0.333,0.167,0.5
